,orid,status
0,20180701H010419,false
1,20180701H140000,false
2,20180701H180409,false
3,20180701H200005,false
4,20180701H200006,false
5,20180702H000001,false
6,20180702H010000,false
7,20180702H010001,false
8,20180702H010005,false
9,20180702H020002,review
10,20180702H020003,false
11,20180702H020009,false
12,20180702H190336,false
13,20180703H050094,false
14,20180703H060009,false
15,20180703H110000,review
16,20180703H110002,false
17,20180703H120003,false
18,20180703H120006,false
19,20180703H190269,false
20,20180703H200092,false
21,20180704H010043,false
22,20180704H090172,false
23,20180705H000091,false
24,20180705H020115,false
25,20180705H030000,correct
26,20180705H030001,correct
27,20180705H030002,false
28,20180705H030003,review
29,20180705H030004,false
30,20180705H030005,false
31,20180705H030007,review
32,20180705H030009,false
33,20180705H030013,false
34,20180705H030075,false
35,20180705H040000,correct
36,20180705H040001,correct
37,20180705H040003,correct
38,20180705H040004,correct
39,20180705H040006,correct
40,20180705H040007,correct
41,20180705H040008,correct
42,20180705H040009,correct
43,20180705H040011,review
44,20180705H040012,false
45,20180705H040013,correct
46,20180705H040014,correct
47,20180705H040015,correct
48,20180705H040019,false
49,20180705H040022,correct
50,20180705H040023,review
51,20180705H040024,false
52,20180705H040026,false
53,20180705H040035,review
54,20180705H040040,correct
55,20180705H040054,false
56,20180705H040061,false
57,20180705H050000,correct
58,20180705H050001,correct
59,20180705H050002,correct
60,20180705H050004,correct
61,20180705H050005,review
62,20180705H050006,false
63,20180705H050007,correct
64,20180705H050008,review
65,20180705H050009,correct
66,20180705H050010,correct
67,20180705H050011,correct
68,20180705H050012,correct
69,20180705H050013,review
70,20180705H050015,correct
71,20180705H050017,false
72,20180705H050019,correct
73,20180705H050021,false
74,20180705H050031,review
75,20180705H050038,review
76,20180705H050055,false
77,20180705H060000,correct
78,20180705H060001,correct
79,20180705H060003,correct
80,20180705H060004,correct
81,20180705H060005,correct
82,20180705H060006,correct
83,20180705H060007,correct
84,20180705H060008,correct
85,20180705H060009,false
86,20180705H060011,review
87,20180705H060012,review
88,20180705H060013,correct
89,20180705H060014,correct
90,20180705H060015,false
91,20180705H060016,review
92,20180705H060020,false
93,20180705H060021,correct
94,20180705H070000,correct
95,20180705H070001,correct
96,20180705H070002,correct
97,20180705H070003,correct
98,20180705H070004,correct
99,20180705H070005,correct
100,20180705H070006,correct
101,20180705H070007,correct
102,20180705H070008,correct
103,20180705H070011,correct
104,20180705H070012,review
105,20180705H070013,correct
106,20180705H070017,false
107,20180705H070023,review
108,20180705H070031,false
109,20180705H070033,false
110,20180705H070045,false
111,20180705H080000,correct
112,20180705H080001,correct
113,20180705H080003,correct
114,20180705H080004,correct
115,20180705H080005,correct
116,20180705H080006,correct
117,20180705H080007,correct
118,20180705H080008,correct
119,20180705H080009,review
120,20180705H080010,review
121,20180705H080011,correct
122,20180705H080012,false
123,20180705H080014,correct
124,20180705H080015,review
125,20180705H080016,correct
126,20180705H080017,correct
127,20180705H080020,false
128,20180705H080021,review
129,20180705H080022,review
130,20180705H080027,false
131,20180705H080028,false
132,20180705H080030,false
133,20180705H080031,review
134,20180705H080038,false
135,20180705H080041,false
136,20180705H080043,false
137,20180705H080052,false
138,20180705H090001,correct
139,20180705H090003,correct
140,20180705H090004,correct
141,20180705H090005,review
142,20180705H090006,correct
143,20180705H090007,correct
144,20180705H090008,correct
145,20180705H090009,review
146,20180705H090010,correct
147,20180705H090011,correct
148,20180705H090012,correct
149,20180705H090013,false
150,20180705H090014,review
151,20180705H090015,correct
152,20180705H090016,correct
153,20180705H090018,review
154,20180705H090019,false
